sex	age	l	m	s
1	91	0.003	9.7658	0.16611
1	92	0.0023	9.7596	0.16634
1	93	0.0016	9.7535	0.16657
1	94	0.0009	9.7475	0.1668
1	95	0.0002	9.7415	0.16703
1	96	-0.0005	9.7355	0.16725
1	97	-0.0012	9.7295	0.16748
1	98	-0.0018	9.7236	0.1677
1	99	-0.0025	9.7177	0.16792
1	100	-0.0032	9.7118	0.16814
1	101	-0.0038	9.7059	0.16836
1	102	-0.0045	9.7001	0.16858
1	103	-0.0051	9.6942	0.16879
1	104	-0.0057	9.6884	0.16901
1	105	-0.0064	9.6826	0.16922
1	106	-0.007	9.6768	0.16944
1	107	-0.0077	9.671	0.16965
1	108	-0.0083	9.6652	0.16986
1	109	-0.0089	9.6593	0.17007
1	110	-0.0095	9.6535	0.17027
1	111	-0.0101	9.6477	0.17048
1	112	-0.0107	9.6418	0.17069
1	113	-0.0113	9.636	0.17089
1	114	-0.0119	9.6301	0.1711
1	115	-0.0125	9.6242	0.1713
1	116	-0.0131	9.6183	0.1715
1	117	-0.0137	9.6124	0.1717
1	118	-0.0143	9.6065	0.1719
1	119	-0.0149	9.6005	0.1721
1	120	-0.0155	9.5946	0.1723
1	121	-0.0161	9.5885	0.1725
1	122	-0.0166	9.5825	0.17269
1	123	-0.0172	9.5765	0.17289
1	124	-0.0178	9.5704	0.17308
1	125	-0.0183	9.5643	0.17328
1	126	-0.0189	9.5581	0.17347
1	127	-0.0195	9.552	0.17366
1	128	-0.02	9.5458	0.17385
1	129	-0.0206	9.5396	0.17405
1	130	-0.0211	9.5333	0.17424
1	131	-0.0217	9.5271	0.17442
1	132	-0.0222	9.5208	0.17461
1	133	-0.0227	9.5145	0.1748
1	134	-0.0233	9.5082	0.17499
1	135	-0.0238	9.5018	0.17517
1	136	-0.0244	9.4954	0.17536
1	137	-0.0249	9.489	0.17554
1	138	-0.0254	9.4826	0.17573
1	139	-0.0259	9.4761	0.17591
1	140	-0.0265	9.4697	0.17609
1	141	-0.027	9.4631	0.17627
1	142	-0.0275	9.4566	0.17645
1	143	-0.028	9.4501	0.17663
1	144	-0.0285	9.4435	0.17681
1	145	-0.029	9.4368	0.17699
1	146	-0.0295	9.4302	0.17717
1	147	-0.03	9.4235	0.17734
1	148	-0.0305	9.4168	0.17752
1	149	-0.031	9.4101	0.17769
1	150	-0.0315	9.4034	0.17787
1	151	-0.032	9.3966	0.17804
1	152	-0.0325	9.3898	0.17821
1	153	-0.033	9.3829	0.17838
1	154	-0.0335	9.3761	0.17855
1	155	-0.034	9.3692	0.17872
1	156	-0.0345	9.3623	0.17889
1	157	-0.0349	9.3554	0.17906
1	158	-0.0354	9.3484	0.17923
1	159	-0.0359	9.3415	0.17939
1	160	-0.0364	9.3345	0.17956
1	161	-0.0368	9.3275	0.17972
1	162	-0.0373	9.3205	0.17988
1	163	-0.0378	9.3134	0.18005
1	164	-0.0383	9.3064	0.18021
1	165	-0.0387	9.2993	0.18037
1	166	-0.0392	9.2922	0.18053
1	167	-0.0396	9.2851	0.18069
1	168	-0.0401	9.278	0.18085
1	169	-0.0406	9.2709	0.181
1	170	-0.041	9.2638	0.18116
1	171	-0.0415	9.2566	0.18131
1	172	-0.0419	9.2495	0.18147
1	173	-0.0424	9.2423	0.18162
1	174	-0.0428	9.2351	0.18177
1	175	-0.0433	9.2279	0.18192
1	176	-0.0437	9.2208	0.18207
1	177	-0.0441	9.2135	0.18222
1	178	-0.0446	9.2063	0.18237
1	179	-0.045	9.1991	0.18251
1	180	-0.0455	9.1919	0.18266
