sex	age	l	m	s
1	91	0.3933	13.4779	0.07474
1	92	0.3916	13.49	0.07476
1	93	0.39	13.502	0.07478
1	94	0.3884	13.5139	0.0748
1	95	0.3868	13.5258	0.07481
1	96	0.3852	13.5375	0.07483
1	97	0.3836	13.5492	0.07485
1	98	0.3821	13.5607	0.07486
1	99	0.3805	13.5722	0.07488
1	100	0.379	13.5836	0.0749
1	101	0.3774	13.5949	0.07491
1	102	0.3759	13.6061	0.07493
1	103	0.3744	13.6172	0.07494
1	104	0.3729	13.6283	0.07496
1	105	0.3714	13.6392	0.07498
1	106	0.3699	13.6501	0.07499
1	107	0.3684	13.6609	0.07501
1	108	0.3669	13.6716	0.07502
1	109	0.3655	13.6822	0.07504
1	110	0.364	13.6927	0.07505
1	111	0.3626	13.7031	0.07507
1	112	0.3611	13.7134	0.07509
1	113	0.3597	13.7237	0.0751
1	114	0.3583	13.7339	0.07512
1	115	0.3569	13.7439	0.07513
1	116	0.3555	13.7539	0.07515
1	117	0.3541	13.7638	0.07516
1	118	0.3527	13.7736	0.07518
1	119	0.3513	13.7834	0.07519
1	120	0.3499	13.793	0.07521
1	121	0.3485	13.8026	0.07522
1	122	0.3472	13.812	0.07524
1	123	0.3458	13.8214	0.07525
1	124	0.3445	13.8307	0.07527
1	125	0.3432	13.8399	0.07528
1	126	0.3418	13.849	0.0753
1	127	0.3405	13.8581	0.07531
1	128	0.3392	13.867	0.07532
1	129	0.3379	13.8759	0.07534
1	130	0.3366	13.8847	0.07535
1	131	0.3353	13.8934	0.07537
1	132	0.334	13.902	0.07538
1	133	0.3327	13.9105	0.0754
1	134	0.3314	13.919	0.07541
1	135	0.3301	13.9273	0.07542
1	136	0.3289	13.9356	0.07544
1	137	0.3276	13.9438	0.07545
1	138	0.3264	13.9519	0.07547
1	139	0.3251	13.96	0.07548
1	140	0.3239	13.9679	0.07549
1	141	0.3226	13.9758	0.07551
1	142	0.3214	13.9836	0.07552
1	143	0.3202	13.9913	0.07553
1	144	0.319	13.9989	0.07555
1	145	0.3177	14.0065	0.07556
1	146	0.3165	14.014	0.07557
1	147	0.3153	14.0214	0.07559
1	148	0.3141	14.0287	0.0756
1	149	0.3129	14.0359	0.07561
1	150	0.3117	14.0431	0.07563
1	151	0.3106	14.0502	0.07564
1	152	0.3094	14.0572	0.07565
1	153	0.3082	14.0642	0.07567
1	154	0.307	14.071	0.07568
1	155	0.3059	14.0778	0.07569
1	156	0.3047	14.0845	0.0757
1	157	0.3036	14.0912	0.07572
1	158	0.3024	14.0977	0.07573
1	159	0.3013	14.1042	0.07574
1	160	0.3001	14.1107	0.07575
1	161	0.299	14.117	0.07577
1	162	0.2979	14.1233	0.07578
1	163	0.2967	14.1295	0.07579
1	164	0.2956	14.1357	0.0758
1	165	0.2945	14.1418	0.07581
1	166	0.2934	14.1478	0.07583
1	167	0.2923	14.1538	0.07584
1	168	0.2912	14.1597	0.07585
1	169	0.2901	14.1655	0.07586
1	170	0.289	14.1713	0.07587
1	171	0.2879	14.177	0.07588
1	172	0.2868	14.1826	0.07589
1	173	0.2857	14.1882	0.07591
1	174	0.2847	14.1937	0.07592
1	175	0.2836	14.1992	0.07593
1	176	0.2825	14.2046	0.07594
1	177	0.2814	14.2099	0.07595
1	178	0.2804	14.2152	0.07596
1	179	0.2793	14.2205	0.07597
1	180	0.2783	14.2256	0.07598
1	181	0.2772	14.2307	0.07599
1	182	0.2762	14.2358	0.076
1	183	0.2751	14.2408	0.07601
1	184	0.2741	14.2458	0.07603
1	185	0.273	14.2507	0.07604
1	186	0.272	14.2555	0.07605
1	187	0.271	14.2603	0.07606
1	188	0.27	14.265	0.07607
1	189	0.2689	14.2697	0.07608
1	190	0.2679	14.2743	0.07609
1	191	0.2669	14.2789	0.0761
1	192	0.2659	14.2834	0.07611
1	193	0.2649	14.2879	0.07612
1	194	0.2639	14.2923	0.07613
1	195	0.2629	14.2967	0.07613
1	196	0.2619	14.3011	0.07614
1	197	0.2609	14.3053	0.07615
1	198	0.2599	14.3096	0.07616
1	199	0.2589	14.3137	0.07617
1	200	0.2579	14.3179	0.07618
1	201	0.2569	14.322	0.07619
1	202	0.256	14.326	0.0762
1	203	0.255	14.33	0.07621
1	204	0.254	14.334	0.07622
1	205	0.253	14.3379	0.07623
1	206	0.2521	14.3417	0.07623
1	207	0.2511	14.3456	0.07624
1	208	0.2502	14.3493	0.07625
